text,label
"Hey, are you free this evening? Let us meet at the coffee shop around 6 PM.",1
Can you please send me the recipe for the chocolate cake you made last week?,1
I had a wonderful time at the park today with my family. The weather was sunny and pleasant.,1
Let us catch up over lunch on Friday if your schedule permits.,1
"Thanks for helping me move the furniture yesterday, I really appreciate your support.",1
"Happy birthday! Wishing you a fantastic year filled with health, joy, and success.",1
Do you know what time the grocery store closes tonight? I need to pick up a few ingredients.,1
I finished reading the novel you recommended and really enjoyed the character development.,1
"The weather is very pleasant today, let us go out for a coffee.",1
Can you send the project presentation by 4 PM?,1
"Hello Naveen, can we review the presentation slides together before the meeting tomorrow?",1
I just bought a new laptop today and it works very smoothly.,1
Please find attached the quarterly financial report for review before our team meeting tomorrow morning.,1
Reminder: The team standup is scheduled for 10:00 AM in Conference Room B.,1
The team meeting has been moved to 10 AM on Monday.,1
Thank you for submitting your project proposal. The review committee will provide feedback by next Tuesday.,1
The marketing department completed the customer survey and shared the aggregate summary with team leads.,1
Here are the meeting notes and action items from today's client sync.,1
Please submit your timesheets by 5 PM today for payroll processing.,1
Our engineering team scheduled server maintenance for midnight Sunday to apply security patches.,1
Welcome to the team! Your onboarding session is scheduled for Monday at 9:30 AM.,1
Your order #12345 has been processed and will arrive by Friday. Thank you for shopping with us.,1
Your appointment with Dr. Williams has been confirmed for Thursday at 2:30 PM.,1
Your flight check-in is now open. Seat 14A has been assigned for your flight to Chicago.,1
Your package has been delivered to your front porch. Have a great day.,1
Your monthly utility statement is ready to view online. Your auto-pay is scheduled for the 15th.,1
Your car service appointment is scheduled for tomorrow morning at 8:00 AM.,1
The train arrives at platform 3 at 5:45 PM.,1
"Local authorities opened a new public library in the downtown area with over 50,000 books and free internet access.",1
Apple held its annual developer conference where they introduced new software features for iPhone and Mac users.,1
The home team won the championship game last night with a final score of 3 to 1 in overtime.,1
Tomorrow will be partly cloudy with temperatures reaching a high of 75 degrees and light breeze.,1
The city transit authority expanded bus routes to improve connectivity across residential suburbs.,1
The community farmers market will feature fresh organic produce and local crafts every Saturday morning.,1
Sony announced its next-generation gaming console update with improved graphics and faster loading speeds.,1
The municipal water board reported that tap water quality tests met all state safety standards this quarter.,1
"According to a study published in the New England Journal of Medicine, researchers found that regular cardiovascular exercise reduces heart disease risk by 32 percent across diverse age groups.",1
The World Health Organization confirmed that global polio vaccination campaigns have reduced wild poliovirus cases by over 99 percent since 1988.,1
Clinical trial results published in The Lancet demonstrate that the new mRNA malaria vaccine achieved 77 percent efficacy in pediatric trials across three West African countries.,1
"The Federal Reserve announced a 25 basis point interest rate adjustment following the Federal Open Market Committee meeting, citing moderation in core inflation figures.",1
